Kinetic Temperature,Solenoidal Fraction,Magnetic Field,Mach Number,kMin,kMax,Seed,Virial Parameter,Plasma Beta,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density
10.0,0.5,2.89656725875e-07,8.5,2,8,16676793,4.472135955,7.94328234724,0,18808.99808,1.9300384337e+14,2.0,128,7.49542133832e-23
10.0,0.5,2.89656725875e-07,8.5,2,8,2050269,4.472135955,7.94328234724,1,18808.99808,1.9300384337e+14,2.0,128,7.49542133832e-23
10.0,0.5,2.89656725875e-07,8.5,2,8,4537617,4.472135955,7.94328234724,2,18808.99808,1.9300384337e+14,2.0,128,7.49542133832e-23
10.0,0.5,2.89656725875e-07,8.5,2,8,11629102,4.472135955,7.94328234724,3,18808.99808,1.9300384337e+14,2.0,128,7.49542133832e-23
10.0,0.5,2.89656725875e-07,8.5,2,8,16123392,4.472135955,7.94328234724,4,18808.99808,1.9300384337e+14,2.0,128,7.49542133832e-23
