Kinetic Temperature,Solenoidal Fraction,Magnetic Field,Mach Number,kMin,kMax,Seed,Virial Parameter,Plasma Beta,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density
10.0,0.5,1.07953614605e-06,10.0,2,4,16628943,1.58113883008,2.23872113857,0,18808.99808,1.64053266864e+14,2.0,256,2.93429107609e-22
10.0,0.5,1.07953614605e-06,10.0,2,4,15074022,1.58113883008,2.23872113857,1,18808.99808,1.64053266864e+14,2.0,256,2.93429107609e-22
10.0,0.5,1.07953614605e-06,10.0,2,4,9310615,1.58113883008,2.23872113857,2,18808.99808,1.64053266864e+14,2.0,256,2.93429107609e-22
10.0,0.5,1.07953614605e-06,10.0,2,4,14048910,1.58113883008,2.23872113857,3,18808.99808,1.64053266864e+14,2.0,256,2.93429107609e-22
10.0,0.5,1.07953614605e-06,10.0,2,4,12923501,1.58113883008,2.23872113857,4,18808.99808,1.64053266864e+14,2.0,256,2.93429107609e-22
