Kinetic Temperature,Solenoidal Fraction,Magnetic Field,Mach Number,kMin,kMax,Seed,Virial Parameter,Plasma Beta,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density,AlfvenSpeed,AlfvenMach,MassToFlux
10.0,0.312499975,2.64185203779e-06,7.916667,3,6,12471191,1.95734193172,0.567762507148,37,18808.99808,2.07225170472e+14,2.0,256,4.45669082722e-22,35301.8369683,4.2180403965,4.49439385234
10.0,0.937500025,1.98434068602e-06,5.833333,2,4,9946153,1.46779938028,0.728618174513,38,18808.99808,2.81234187838e+14,2.0,256,3.22672006861e-22,31162.3829284,3.52088444099,4.33223657354
10.0,0.90625,1.29782472024e-06,9.583333,4,8,2735558,5.6234132519,1.19995983609,39,18808.99808,1.71186023552e+14,2.0,256,2.27314746412e-22,24282.7184813,7.42309359372,4.66636471489
10.0,0.843750025,1.72566871975e-06,15.0,2,4,2631303,2.87298461284,3.25461783498,40,18808.99808,1.09368844576e+14,2.0,256,1.09004309958e-21,14744.5207148,19.1349028332,16.8288079516
10.0,0.4375,2.54036584433e-06,11.666667,4,8,13165111,3.16227766017,0.825404267626,41,18808.99808,1.40617081866e+14,2.0,256,5.99084462267e-22,29278.3976504,7.49488820471,6.28288198689
10.0,1.0,8.63390997358e-07,8.75,4,8,12776633,2.37137370566,5.36002370021,42,18808.99808,1.87489447845e+14,2.0,256,4.49376707508e-22,11489.3988205,14.3243990196,13.8666052796
10.0,0.874999975,1.43830831231e-06,11.25,1,2,9814410,1.10069425573,6.87859912309,43,18808.99808,1.45825126102e+14,2.0,256,1.60041567658e-21,10142.1647259,20.8635172192,29.6447585681
10.0,0.8125,9.96385586025e-07,7.5,1,2,10214559,7.49894209332,0.935046674528,44,18808.99808,2.18737689152e+14,2.0,256,1.04403961701e-22,27508.3166536,5.12817586683,2.79162226644
10.0,0.53125,2.96265895129e-07,5.416667,2,4,5996215,6.81292016767,6.07202135105,45,18808.99808,3.02867550958e+14,2.0,256,5.99411990919e-23,10794.7854485,9.43808283072,5.3902744427
10.0,0.781249975,5.37860272105e-07,5.0,3,6,15459332,4.21696503429,2.53610196182,46,18808.99808,3.28106533729e+14,2.0,256,8.2515295742e-23,16703.1086052,5.63038848773,4.08725849002
10.0,0.968749975,1.12507969358e-06,12.916667,3,6,7684004,8.2540424862,1.97621089835,47,18808.99808,1.27008977521e+14,2.0,256,2.81338183175e-22,18921.8682811,12.8396182234,6.66212080611
10.0,0.499999975,4.52869383156e-06,14.583333,3,6,15739987,1.21152756564,1.05925372518,48,18808.99808,1.12493671278e+14,2.0,256,2.44328842371e-21,25845.2453886,10.6130887238,14.3737103174
10.0,0.750000025,1.26005118947e-06,13.333333,4,8,9438949,1.77827941004,7.79231876185,49,18808.99808,1.23039953224e+14,2.0,256,1.3914637714e-21,9528.99951727,26.3182545389,29.4205526205
