Kinetic Temperature,Solenoidal Fraction,Magnetic Field,Mach Number,kMin,kMax,Seed,Virial Parameter,Plasma Beta,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density
10.0,0.33,1.01432515742e-06,5.0,2,4,16497249,2.0,0.501187233627,0,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.33,1.01432515742e-06,5.0,4,8,2946555,2.0,0.501187233627,1,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.33,2.4343803778e-06,12.0,2,4,345911,2.0,0.501187233627,2,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.33,2.4343803778e-06,12.0,4,8,13330426,2.0,0.501187233627,3,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.33,5.08366819645e-07,5.0,2,4,253360,2.0,1.99526231497,4,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.33,5.08366819645e-07,5.0,4,8,3624579,2.0,1.99526231497,5,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.33,1.22008036715e-06,12.0,2,4,4969489,2.0,1.99526231497,6,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.33,1.22008036715e-06,12.0,4,8,4169381,2.0,1.99526231497,7,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.66,1.01432515742e-06,5.0,2,4,16588557,2.0,0.501187233627,8,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.66,1.01432515742e-06,5.0,4,8,1026310,2.0,0.501187233627,9,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.66,2.4343803778e-06,12.0,2,4,11348267,2.0,0.501187233627,10,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.66,2.4343803778e-06,12.0,4,8,1591865,2.0,0.501187233627,11,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.66,5.08366819645e-07,5.0,2,4,3613551,2.0,1.99526231497,12,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.66,5.08366819645e-07,5.0,4,8,16678732,2.0,1.99526231497,13,18808.99808,3.28106533729e+14,2.0,128,5.79940194896e-23
10.0,0.66,1.22008036715e-06,12.0,2,4,11897845,2.0,1.99526231497,14,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.66,1.22008036715e-06,12.0,4,8,2600133,2.0,1.99526231497,15,18808.99808,1.3671105572e+14,2.0,128,3.3404555226e-22
10.0,0.33,4.53620000655e-07,5.0,2,4,3430789,10.0,0.501187233627,16,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.33,4.53620000655e-07,5.0,4,8,9448664,10.0,0.501187233627,17,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.33,1.08868800157e-06,12.0,2,4,11364240,10.0,0.501187233627,18,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.33,1.08868800157e-06,12.0,4,8,12060756,10.0,0.501187233627,19,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.33,2.27348553246e-07,5.0,2,4,1451548,10.0,1.99526231497,20,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.33,2.27348553246e-07,5.0,4,8,8752906,10.0,1.99526231497,21,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.33,5.45636527791e-07,12.0,2,4,13654879,10.0,1.99526231497,22,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.33,5.45636527791e-07,12.0,4,8,11591539,10.0,1.99526231497,23,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.66,4.53620000655e-07,5.0,2,4,8545406,10.0,0.501187233627,24,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.66,4.53620000655e-07,5.0,4,8,3423385,10.0,0.501187233627,25,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.66,1.08868800157e-06,12.0,2,4,1550769,10.0,0.501187233627,26,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.66,1.08868800157e-06,12.0,4,8,9902566,10.0,0.501187233627,27,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.66,2.27348553246e-07,5.0,2,4,6858381,10.0,1.99526231497,28,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.66,2.27348553246e-07,5.0,4,8,16046676,10.0,1.99526231497,29,18808.99808,3.28106533729e+14,2.0,128,1.15988038979e-23
10.0,0.66,5.45636527791e-07,12.0,2,4,8556301,10.0,1.99526231497,30,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
10.0,0.66,5.45636527791e-07,12.0,4,8,9212468,10.0,1.99526231497,31,18808.99808,1.3671105572e+14,2.0,128,6.6809110452e-23
