Kinetic Temperature,Solenoidal Fraction,Magnetic Field,Mach Number,kMin,kMax,Seed,Virial Parameter,Plasma Beta,Index,Sound Speed,Crossing Time,PL Index,Box Size,Density
40.0,0.495,3.265454288530377e-06,8.5,2,8,9318735,4.47213595499958,1.0,0,37617.99615997814,96501921684902.34,2.0,128,2.9981685353295913e-22
40.0,0.495,3.265454288530377e-06,8.5,2,8,4211027,4.47213595499958,1.0,1,37617.99615997814,96501921684902.34,2.0,128,2.9981685353295913e-22
40.0,0.495,3.265454288530377e-06,8.5,2,8,1081203,4.47213595499958,1.0,2,37617.99615997814,96501921684902.34,2.0,128,2.9981685353295913e-22
40.0,0.495,3.265454288530377e-06,8.5,2,8,14219533,4.47213595499958,1.0,3,37617.99615997814,96501921684902.34,2.0,128,2.9981685353295913e-22
40.0,0.495,3.265454288530377e-06,8.5,2,8,16300709,4.47213595499958,1.0,4,37617.99615997814,96501921684902.34,2.0,128,2.9981685353295913e-22
